Time,Speed
1,3.2656272
2,2.37244128
3,1.7300448
4,1.12922304
5,1.29820416
6,2.96566336
7,4.1708832
8,4.1753536
9,3.9428928
10,3.8043104
11,2.79444704
12,2.52085856
13,4.9263808
14,5.4672992
15,4.2960544
16,4.5776896
17,4.2424096
18,3.6612576
19,3.9294816
20,4.0635936
21,4.1530016
22,3.48780608
23,3.084576
24,3.27143872
25,3.6031424
26,4.4122848
27,4.291584
28,4.7028608
29,4.0188896
30,3.38141056
31,3.6031424
32,3.7372544
33,2.7425904
34,3.26607424
35,2.30806752
36,1.56866336
37,1.32860288
38,1.47433792
39,2.54276352
40,2.23207072
41,1.33352032
42,1.1019536
43,0.55298848
44,1.02774496
45,1.09345984
46,0.74610976
47,0.5945632
48,1.52172416
49,1.95624704
50,1.62677856
51,1.38180064
52,1.2718288
53,1.00986336
54,0.8426704
55,0.94817184
56,1.15604544
57,0.86099904
58,0.8985504
59,1.77743104
60,1.77117248
61,2.44262656
62,2.97192192
63,3.8132512
64,4.2424096
65,4.91744
66,3.23612256
67,2.49090688
68,2.82484576
69,2.09125312
70,1.64868352
71,1.40951712
72,0.93699584
73,1.07244896
74,2.36886496
75,2.26828096
76,2.25442272
77,2.55349248
78,1.90304928
79,2.06934816
80,6.7145408
81,8.2523584
82,8.449056
83,6.571488
84,6.4507872
85,7.7293216
86,8.6546944
87,7.7829664
88,5.8651648
89,5.6818784
90,6.4194944
91,6.4552576
92,6.0082176
93,8.9408
94,8.069072
95,6.459728
96,3.9250112
97,3.44489024
98,3.54458016
99,5.6461152
100,5.967984
101,6.5536064
102,5.5924704
103,3.9697152
104,4.0278304
105,5.2571904
106,6.3569088
107,7.1168768
108,8.5205824
109,7.778496
110,8.3060032
111,7.4745088
112,7.3895712
113,6.2183264
114,5.9769248
115,4.6626272
116,4.090416
117,3.866896
118,5.1722528
119,2.9370528
120,2.2061424
121,3.6970208
122,4.8682656
123,3.9473632
124,4.425696
125,4.8995584
126,5.6282336
127,6.303264
128,5.6863488
129,6.5178432
130,5.0604928
131,4.5419264
132,3.55575616
133,4.045712
134,4.3765216
135,5.1051968
136,4.1887648
137,4.24688
138,4.4882816
139,4.9487328
140,4.5732192
141,4.0278304
142,4.4301664
143,4.045712
144,3.7506656
145,3.40018624
146,3.844544
147,4.1217088
148,4.1038272
149,4.0814752
150,4.291584
151,3.68808
152,3.31122528
153,2.91827712
154,2.48733056
155,2.2039072
156,2.5078944
157,2.9594048
158,3.28529696
159,3.8356032
160,3.8087808
161,2.69922752
162,3.02735488
163,3.52446336
164,2.87178496
165,3.35592928
166,3.9965376
167,2.97102784
168,2.93124128
169,2.95582848
170,3.386328
171,3.7283136
172,4.2155872
173,3.8043104
174,4.0099488
175,3.23925184
176,3.50881696
177,4.0323008
178,3.5897312
179,3.49987616
180,3.47484192
181,3.52803968
182,4.515104
183,4.3049952
184,4.4346368
185,3.7193728
186,2.22223584
187,2.58433824
188,2.70995648
189,2.53516384
190,2.40284
191,2.92900608
192,2.84272736
193,3.32240128
194,2.84138624
195,2.51325888
196,1.9379184
197,1.39521184
198,1.43768064
199,1.13414048
200,1.42873984
201,1.5109952
202,1.35766048
203,2.25263456
204,1.45600928
205,1.73764448
206,2.51549408
207,2.41580416
208,2.31879648
209,2.17216736
210,1.69562272
211,2.64468864
212,1.84046368
213,2.45737888
214,1.531112
215,2.16546176
216,2.50834144
217,2.0966176
218,2.52085856
219,2.16948512
220,2.54723392
221,2.77030688
222,2.41669824
223,2.42832128
224,1.51367744
225,2.62367776
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
